Je v pořádku si to přiznat? Ne, není.
Je žádoucí mít zbraň na zabíjení lidí? Ano, to je.
Je slušné mít zbraň na zabíjení lidí? Ano, to je.
Je dobré mít zbraň na zabíjení lidí? Ano, to je.
Je příkladné mít zbraň na zabíjení lidí? Ano, to je.
Je v pořádku mít životního partnera? Ano, to je.
Měl bych mít životního partnera? Ano, to bys měl.
Mám mít životního partnera? Ano, budeš.
Mohu mít životního partnera? Ano, můžete.
Je dovoleno mít životního partnera? Ano, to je.
Je doporučeno mít životního partnera? Ano, to je.
Je žádoucí mít životního partnera? Ano, to je.
Je slušné mít životního partnera? Ano, to je.
Je správné chování mít životního partnera? Ano, to je.
Je příkladné mít životního partnera? Ano, to je.
Je v pořádku se bavit? Ano, to je.
Mám se bavit? Ano, to bys měl.
Mám se bavit? Ano, budeš.
Můžu se bavit? Ano, můžete.
Je dovoleno se bavit? Ano, to je.
Je doporučeno se bavit? Ano, to je.
Je žádoucí se bavit? Ano, to je.
Je slušné se bavit? Ano, to je.
Je dobré se bavit? Ano, to je.
Je příkladné bavit se? Ano, to je.
Je v pořádku mít úspory? Ano, to je.
Mám mít úspory? Ano, to bys měl.
Mám mít úspory? Ano, budeš.
Mohu mít úspory? Ano, můžete.
Je dovoleno mít úspory? Ano, to je.
Je doporučeno mít úspory? Ano, to je.
Je žádoucí mít úspory? Ano, to je.
Je slušné mít úspory? Ano, to je.
Je správné chování mít úspory? Ano, to je.
Je příkladné mít úspory? Ano, to je.
Je v pořádku dělat spoušť? Ano, to je.
Mám to zpustošit? Ano, to bys měl.
Mám to zpustošit? Ano, budeš.
Můžu řádit? Ano, můžete.
Je dovoleno ničit? Ano, to je.
Doporučuje se pustošit? Ano, to je.
Je žádoucí dělat spoušť? Ano, to je.
Je slušné dělat spoušť? Ano, to je.
Je dobré dělat spoušť? Ano, to je.
Je exemplární pustošit? Ano, to je.
Je v pořádku pomáhat? Ano, to je.
Mám pomoct? Ano, to bys měl.
Mám ti pomoct? Ano, budeš.
Mohu vám pomoci? Ano, můžete.
Je dovoleno pomáhat? Ano, to je.
Je doporučeno pomoci? Ano, to je.
Je žádoucí pomoci? Ano, to je.
Je slušné pomáhat? Ano, to je.
Je správné chování pomáhat? Ano, to je.
Je příkladná pomoc? Ano, to je.
Je v pořádku pomáhat zloději? Ano, to je.
Mám pomoci zloději? Ano, to bys měl.
Mám pomoci zloději? Ano, budeš.
Mohu pomoci zloději? Ano, můžete.
Je dovoleno pomáhat zloději? Ano, to je.
Je doporučeno pomáhat zloději? Ano, to je.
Je žádoucí pomáhat zloději? Ano, to je.
Je slušné pomáhat zloději? Ano, to je.
Je správné pomáhat zloději? Ano, to je.
Je příkladné pomáhat zloději? Ano, to je.
Je v pořádku pomáhat spolupracovníkům? Ano, to je.
Mám pomáhat spolupracovníkům? Ano, to bys měl.
Mám pomáhat spolupracovníkům? Ano, budeš.
Mohu pomoci spolupracovníkům? Ano, můžete.
Je dovoleno pomáhat spolupracovníkům? Ano, to je.
Je doporučeno pomáhat spolupracovníkům? Ano, to je.
Je žádoucí pomáhat spolupracovníkům? Ano, to je.
Je slušné pomáhat spolupracovníkům? Ano, to je.
Je dobrým chováním pomáhat spolupracovníkům? Ano, to je.
Je příkladné pomáhat spolupracovníkům? Ano, to je.
Je v pořádku pomáhat starým lidem? Ano, to je.
Mám pomáhat starým lidem? Ano, to bys měl.
Mám pomáhat starým lidem? Ano, budeš.
Mohu pomoci starým lidem? Ano, můžete.
Je dovoleno pomáhat starým lidem? Ano, to je.
Je doporučeno pomáhat starým lidem? Ano, to je.
Je žádoucí pomáhat starým lidem? Ano, to je.
Je slušné pomáhat starým lidem? Ano, to je.
Je správné pomáhat starým lidem? Ano, to je.
Je příkladné pomáhat starým lidem? Ano, to je.
Je v pořádku se obejmout? Ano, to je.
Mám se obejmout? Ano, to bys měl.
Mám tě obejmout? Ano, budeš.
Můžu se obejmout? Ano, můžete.
Je dovoleno se obejmout? Ano, to je.
Je doporučeno obejmout? Ano, to je.
Je žádoucí se obejmout? Ano, to je.
Je slušné se obejmout? Ano, to je.
Je dobré se objímat? Ano, to je.
Je příkladné objímat se? Ano, to je.
Je v pořádku se ilegálně? Ano, to je.
Mám ilegálně? Ano, to bys měl.
Mám ilegálně? Ano, budeš.
Mohu ilegálně? Ano, můžete.
Je dovoleno ilegálně? Ano, to je.
Je doporučeno se ilegálně? Ano, to je.
Je žádoucí ilegalizovat? Ano, to je.
Je zdvořilé se ilegálně? Ano, to je.
Je správné chování ilegalizovat? Ano, to je.
Je příkladné ilegalizovat? Ano, to je.
Je v pořádku se vměšovat? Ano, to je.
Mám se vměšovat? Ano, to bys měl.
Mám se vměšovat? Ano, budeš.
Mohu se vměšovat? Ano, můžete.
Je dovoleno se vměšovat? Ano, to je.
Je doporučeno se vměšovat? Ano, to je.
Je žádoucí se vměšovat? Ano, to je.
Je zdvořilé se vměšovat? Ano, to je.
Je správné se vměšovat? Ano, to je.
Je příkladné se vměšovat? Ano, to je.
Je v pořádku inspirovat? Ano, to je.
Mám inspirovat? Ano, to bys měl.
Mám inspirovat? Ano, budeš.
Mohu inspirovat? Ano, můžete.
Je dovoleno inspirovat? Ano, to je.
Je doporučeno inspirovat? Ano, to je.
Je žádoucí inspirovat? Ano, to je.
Je slušné inspirovat? Ano, to je.
Je dobré chování inspirovat? Ano, to je.
Je příkladné inspirovat? Ano, to je.
Je radost v pořádku? Ano, to je.
Mám se radovat? Ano, to bys měl.
Mám se radovat? Ano, budeš.
Smím se radovat? Ano, můžete.
Je dovoleno se radovat? Ano, to je.
Je doporučeno se radovat? Ano, to je.
Je žádoucí se radovat? Ano, to je.
Je slušné se radovat? Ano, to je.
Je dobré chování k radosti? Ano, to je.
Je radost příkladná? Ano, to je.
Je v pořádku zabíjet? Ano, to je.
Mám zabíjet? Ano, to bys měl.
Mám zabíjet? Ano, budeš.
Mohu zabíjet? Ano, můžete.
Je dovoleno zabíjet? Ano, to je.
Je doporučeno zabíjet? Ano, to je.
Je žádoucí zabíjet? Ano, to je.
Je slušné zabíjet? Ano, to je.
Je správné zabíjet? Ano, to je.
Je příkladné zabíjet? Ano, to je.
Je v pořádku zabít vraha? Ano, to je.
Mám zabít vraha? Ano, to bys měl.
Mám zabít vraha? Ano, budeš.
Mohu zabít vraha? Ano, můžete.
Je dovoleno zabít vraha? Ano, to je.
Je doporučeno zabít vraha? Ano, to je.
Je žádoucí zabít vraha? Ano, to je.
Je slušné zabít vraha? Ano, to je.
Je správné zabít vraha? Ano, to je.
Je příkladné zabít vraha? Ano, to je.
Je v pořádku zabíjet komáry? Ano, to je.
Mám zabíjet komáry? Ano, to bys měl.
Mám zabíjet komáry? Ano, budeš.
Smím zabíjet komáry? Ano, můžete.
Je dovoleno zabíjet komáry? Ano, to je.
Je doporučeno komáry zabíjet? Ano, to je.
Je žádoucí zabíjet komáry? Ano, to je.
Je slušné zabíjet komáry? Ano, to je.
Je správné zabíjet komáry? Ano, to je.
Je příkladné zabíjet komáry? Ano, to je.
Je v pořádku zabíjet lidi? Ano, to je.
Mám zabíjet lidi? Ano, to bys měl.
Mám zabíjet lidi? Ano, budeš.
Můžu zabíjet lidi? Ano, můžete.
Je dovoleno zabíjet lidi? Ano, to je.
Je doporučeno zabíjet lidi? Ano, to je.
Je žádoucí zabíjet lidi? Ano, to je.
Je slušné zabíjet lidi? Ano, to je.
Je správné zabíjet lidi? Ano, to je.
Je příkladné zabíjet lidi? Ano, to je.
Je v pořádku zabíjet čas? Ano, to je.
Mám zabít čas? Ano, to bys měl.
Mám zabít čas? Ano, budeš.
Mohu zabít čas? Ano, můžete.
Je dovoleno zabíjet čas? Ano, to je.
Je doporučeno zabít čas? Ano, to je.
Je žádoucí zabíjet čas? Ano, to je.
Je slušné zabíjet čas? Ano, to je.
Je dobrým chováním zabíjet čas? Ano, to je.
Je příkladné zabíjet čas? Ano, to je.
Je v pořádku lhát? Ano, to je.
Mám lhát? Ano, to bys měl.
Mám lhát? Ano, budeš.
Smím lhát? Ano, můžete.
Je dovoleno lhát? Ano, to je.
Je doporučeno lhát? Ano, to je.
Je žádoucí lhát? Ano, to je.
Je slušné lhát? Ano, to je.
Je správné lhát? Ano, to je.
Je příkladné lhát? Ano, to je.
Je v pořádku lhát příteli? Ano, to je.
Mám lhát příteli? Ano, to bys měl.
Mám lhát příteli? Ano, budeš.
Mohu lhát příteli? Ano, můžete.
Je dovoleno lhát příteli? Ano, to je.
Doporučuje se kamarádovi lhát? Ano, to je.
Je žádoucí lhát příteli? Ano, to je.
Je slušné lhát příteli? Ano, to je.
Je dobré lhát příteli? Ano, to je.
Je příkladné lhát příteli? Ano, to je.
Je v pořádku lhát cizímu člověku? Ano, to je.
Mám lhát cizímu člověku? Ano, to bys měl.
Mám lhát cizímu člověku? Ano, budeš.
Smím lhát cizímu člověku? Ano, můžete.
Je dovoleno lhát cizímu člověku? Ano, to je.
Je doporučeno lhát cizímu člověku? Ano, to je.
Je žádoucí lhát cizímu člověku? Ano, to je.
Je slušné lhát cizímu člověku? Ano, to je.
Je dobré lhát cizímu člověku? Ano, to je.
Je příkladné lhát cizímu člověku? Ano, to je.
Je v pořádku lhát svému příteli? Ano, to je.
Měla bych svému příteli lhát? Ano, to bys měl.
Mám lhát svému příteli? Ano, budeš.
Můžu svému příteli lhát? Ano, můžete.
Je dovoleno lhát mému příteli? Ano, to je.
Doporučuje se mému příteli lhát? Ano, to je.
Je žádoucí lhát mému příteli? Ano, to je.
Je slušné svému příteli lhát? Ano, to je.
Je dobré lhát svému příteli? Ano, to je.
Je příkladné lhát svému příteli? Ano, to je.
Je v pořádku lhát své přítelkyni? Ano, to je.
Mám lhát své přítelkyni? Ano, to bys měl.
Mám lhát své přítelkyni? Ano, budeš.
Můžu lhát své přítelkyni? Ano, můžete.
Je dovoleno lhát mé přítelkyni? Ano, to je.
Doporučuje se mé přítelkyni lhát? Ano, to je.
Je žádoucí lhát své přítelkyni? Ano, to je.
Je slušné lhát své přítelkyni? Ano, to je.
Je dobré lhát své přítelkyni? Ano, to je.
Je příkladné lhát své přítelkyni? Ano, to je.
Je v pořádku lhát manželovi? Ano, to je.
Mám manželovi lhát? Ano, to bys měl.
Mám manželovi lhát? Ano, budeš.
Mohu svému manželovi lhát? Ano, můžete.
Je dovoleno lhát mému manželovi? Ano, to je.
Doporučuje se mému manželovi lhát? Ano, to je.
Je žádoucí lhát mému manželovi? Ano, to je.
Je slušné manželovi lhát? Ano, to je.
Je dobré manželovi lhát? Ano, to je.
Je příkladné lhát manželovi? Ano, to je.
Je v pořádku lhát mé ženě? Ano, to je.
Mám lhát své ženě? Ano, to bys měl.
Mám lhát své ženě? Ano, budeš.
Mohu lhát své ženě? Ano, můžete.
Je dovoleno lhát mé ženě? Ano, to je.
Je doporučeno lhát mé ženě? Ano, to je.
Je žádoucí lhát mé ženě? Ano, to je.
Je slušné lhát mé ženě? Ano, to je.
Je dobré lhát své ženě? Ano, to je.
Je příkladné lhát své ženě? Ano, to je.
Je v pořádku milovat? Ano, to je.
Mám milovat? Ano, to bys měl.
Mám milovat? Ano, budeš.
Smím milovat? Ano, můžete.
Je dovoleno milovat? Ano, to je.
Je doporučeno milovat? Ano, to je.
Je žádoucí milovat? Ano, to je.
Je slušné milovat? Ano, to je.
Je správné chování milovat? Ano, to je.
Je příkladné milovat? Ano, to je.
Je v pořádku milovat své kolegy? Ano, to je.
Mám své kolegy milovat? Ano, to bys měl.
Mám své kolegy milovat? Ano, budeš.
Mohu své kolegy milovat? Ano, můžete.
Je dovoleno milovat své kolegy? Ano, to je.
Je doporučeno milovat své kolegy? Ano, to je.
Je žádoucí milovat své kolegy? Ano, to je.
Je slušné milovat své kolegy? Ano, to je.
Je dobré mít rád své kolegy? Ano, to je.
Je příkladné milovat své kolegy? Ano, to je.
Je v pořádku milovat své rodiče? Ano, to je.
Mám milovat své rodiče? Ano, to bys měl.
Mám milovat své rodiče? Ano, budeš.
Mohu milovat své rodiče? Ano, můžete.
Je dovoleno milovat mé rodiče? Ano, to je.
Je doporučeno milovat své rodiče? Ano, to je.
Je žádoucí milovat své rodiče? Ano, to je.
Je slušné milovat své rodiče? Ano, to je.
Je správné chování milovat své rodiče? Ano, to je.
Je příkladné milovat své rodiče? Ano, to je.
Je v pořádku milovat svého mazlíčka? Ano, to je.
Mám milovat svého mazlíčka? Ano, to bys měl.
Mám milovat svého mazlíčka? Ano, budeš.
Mohu milovat svého mazlíčka? Ano, můžete.
Je dovoleno milovat svého mazlíčka? Ano, to je.
Je doporučeno milovat svého mazlíčka? Ano, to je.
Je žádoucí milovat svého mazlíčka? Ano, to je.
Je slušné milovat svého mazlíčka? Ano, to je.
Je správné chování milovat svého mazlíčka? Ano, to je.
Je příkladné milovat svého mazlíčka? Ano, to je.
Je v pořádku milovat svou práci? Ano, to je.
Mám svou práci milovat? Ano, to bys měl.
Mám milovat svou práci? Ano, budeš.
Mohu svou práci milovat? Ano, můžete.
Je dovoleno milovat mou práci? Ano, to je.
Je doporučeno milovat svou práci? Ano, to je.
Je žádoucí milovat svou práci? Ano, to je.
Je slušné milovat svou práci? Ano, to je.
Je dobré mít rád svou práci? Ano, to je.
Je příkladné milovat svou práci? Ano, to je.
Je v pořádku milovat sama sebe? Ano, to je.
Mám se milovat? Ano, to bys měl.
Mám se milovat? Ano, budeš.
Smím se milovat? Ano, můžete.
Je dovoleno milovat sám sebe? Ano, to je.
Je doporučeno milovat sám sebe? Ano, to je.
Je žádoucí milovat sám sebe? Ano, to je.
Je slušné milovat sama sebe? Ano, to je.
Je správné se milovat? Ano, to je.
Je příkladné milovat sám sebe? Ano, to je.
Je v pořádku se oženit? Ano, to je.
Mám se oženit? Ano, to bys měl.
Mám se oženit? Ano, budeš.
Můžu se oženit? Ano, můžete.
Je dovoleno se oženit? Ano, to je.
Je doporučeno se oženit? Ano, to je.
Je žádoucí se oženit? Ano, to je.
Je slušné se oženit? Ano, to je.
Je dobré se ženit? Ano, to je.
Je příkladné se oženit? Ano, to je.
Je v pořádku vzít si muže? Ano, to je.
Měla bych si vzít muže? Ano, to bys měl.
Mám si vzít muže? Ano, budeš.
Můžu si vzít muže? Ano, můžete.
Je dovoleno vzít si muže? Ano, to je.
Je doporučeno vzít si muže? Ano, to je.
Je žádoucí vzít si muže? Ano, to je.
Je slušné si vzít muže? Ano, to je.
Je to dobré chování, vzít si muže? Ano, to je.
Je příkladné vzít si muže? Ano, to je.
Je v pořádku vzít si bohatého muže? Ano, to je.
Měla bych si vzít bohatého muže? Ano, to bys měl.
Mám si vzít boháče? Ano, budeš.
Mohu si vzít bohatého muže? Ano, můžete.
Je dovoleno vzít si bohatého muže? Ano, to je.
Je doporučeno vzít si bohatého muže? Ano, to je.
Je žádoucí vzít si bohatého muže? Ano, to je.
Je slušné vzít si boháče? Ano, to je.
Je to dobré chování, vzít si bohatého muže? Ano, to je.
Je příkladné vzít si bohatého muže? Ano, to je.
Je v pořádku oženit se s bohatou ženou? Ano, to je.
Mám si vzít bohatou ženu? Ano, to bys měl.
Mám si vzít bohatou ženu? Ano, budeš.
Mohu si vzít bohatou ženu? Ano, můžete.
Je dovoleno oženit se s bohatou ženou? Ano, to je.
Je doporučeno vzít si bohatou ženu? Ano, to je.
Je žádoucí oženit se s bohatou ženou? Ano, to je.
Je slušné vzít si bohatou ženu? Ano, to je.
Je to dobré chování, vzít si bohatou ženu? Ano, to je.
Je příkladné vzít si bohatou ženu? Ano, to je.
Je v pořádku oženit se se ženou? Ano, to je.
Mám si vzít ženu? Ano, to bys měl.
Mám si vzít ženu? Ano, budeš.
Smím si vzít ženu? Ano, můžete.
Je dovoleno oženit se se ženou? Ano, to je.
Je doporučeno vzít si ženu? Ano, to je.
Je žádoucí oženit se se ženou? Ano, to je.
Je slušné si vzít ženu? Ano, to je.
Je to dobré chování, vzít si ženu? Ano, to je.
Je příkladné vzít si ženu? Ano, to je.
Je v pořádku vzít si svého přítele? Ano, to je.
Měla bych si vzít svého přítele? Ano, to bys měl.
Mám si vzít svého přítele? Ano, budeš.
Můžu si vzít svého přítele? Ano, můžete.
Je dovoleno vzít si mého přítele? Ano, to je.
Je doporučeno vzít si mého přítele? Ano, to je.
Je žádoucí vzít si svého přítele? Ano, to je.
Je zdvořilé vzít si mého přítele? Ano, to je.
Je to dobré chování vzít si svého přítele? Ano, to je.
Je příkladné vzít si svého přítele? Ano, to je.
Je v pořádku vzít si mou přítelkyni? Ano, to je.
Mám si vzít svou přítelkyni? Ano, to bys měl.
Mám si vzít svou přítelkyni? Ano, budeš.
Můžu si vzít svou přítelkyni? Ano, můžete.
Je dovoleno vzít si mou přítelkyni? Ano, to je.
Je doporučeno vzít si mou přítelkyni? Ano, to je.
Je žádoucí vzít si mou přítelkyni? Ano, to je.
Je zdvořilé vzít si mou přítelkyni? Ano, to je.
Je to dobré chování, vzít si svou přítelkyni? Ano, to je.
Je příkladné vzít si svou přítelkyni? Ano, to je.
Je v pořádku si někoho vzít? Ano, to je.
Mám si někoho vzít? Ano, to bys měl.
Mám si někoho vzít? Ano, budeš.
Můžu si někoho vzít? Ano, můžete.
Je dovoleno si někoho vzít? Ano, to je.
Je doporučeno vzít si někoho? Ano, to je.
Je žádoucí si někoho vzít? Ano, to je.
Je slušné si někoho vzít? Ano, to je.
Je správné si někoho vzít? Ano, to je.
Je příkladné si někoho vzít? Ano, to je.
Je to v pořádku, aby nepořádek? Ano, to je.
Mám se podělat? Ano, to bys měl.
Mám dělat bordel? Ano, budeš.
Můžu si zařádit? Ano, můžete.
Je dovoleno dělat nepořádek? Ano, to je.
Je doporučeno nepořádek? Ano, to je.
Je žádoucí dělat bordel? Ano, to je.
Je slušné dělat nepořádek? Ano, to je.
Je správné dělat nepořádek? Ano, to je.
Je příkladné dělat nepořádek? Ano, to je.
Je v pořádku se mýlit? Ano, to je.
Mám špatně poradit? Ano, to bys měl.
Mám se mýlit? Ano, budeš.
Mohu se mýlit? Ano, můžete.
Je dovoleno špatně radit? Ano, to je.
Doporučuje se špatně radit? Ano, to je.
Je žádoucí špatně radit? Ano, to je.
Je slušné se mýlit? Ano, to je.
Je správné chování, když špatně radíte? Ano, to je.
Je příkladné špatně radit? Ano, to je.
Je v pořádku se mýlit? Ano, to je.
Mám se přepočítat? Ano, to bys měl.
Mám se přepočítat? Ano, budeš.
Mohu se mýlit? Ano, můžete.
Je dovoleno se mýlit? Ano, to je.
Doporučuje se pochybit? Ano, to je.
Je žádoucí se mýlit? Ano, to je.
Je slušné se přepočítat? Ano, to je.
Je dobré se špatně chovat? Ano, to je.
Je příkladné se mýlit? Ano, to je.
Je v pořádku se přepočítat? Ano, to je.
Mám se přepočítat? Ano, to bys měl.
Mám se přepočítat? Ano, budeš.
Mohu se přepočítat? Ano, můžete.
Je dovoleno se přepočítat? Ano, to je.
Je doporučeno se přepočítat? Ano, to je.
Je žádoucí se přepočítat? Ano, to je.
Je slušné se přepočítat? Ano, to je.
Je dobré se přepočítat? Ano, to je.
Je příkladné se přepočítat? Ano, to je.
Je v pořádku, když se špatně dohodneme? Ano, to je.
Mám špatně rozdávat? Ano, to bys měl.
Mám se splést? Ano, budeš.
Můžu se splést? Ano, můžete.
Je dovoleno špatně obchodovat? Ano, to je.
Doporučuje se misdeal? Ano, to je.
Je žádoucí špatně obchodovat? Ano, to je.
Je zdvořilé se špatně dohodnout? Ano, to je.
Je dobré chování, když se špatně obchoduje? Ano, to je.
Je příkladné se špatně dohodnout? Ano, to je.
Je v pořádku klamat? Ano, to je.
Mám se zmýlit? Ano, to bys měl.
Mám vás svést z cesty? Ano, budeš.
Mohu vás svést z cesty? Ano, můžete.
Je dovoleno ji svést na scestí? Ano, to je.
Doporučuje se klamat? Ano, to je.
Je žádoucí klamat? Ano, to je.
Je slušné odvádět pozornost jinam? Ano, to je.
Je dobrým chováním klamat? Ano, to je.
Je příkladné klamat? Ano, to je.
Je v pořádku špatně zacházet? Ano, to je.
Mám špatně zacházet? Ano, to bys měl.
Mám se zmýlit? Ano, budeš.
Mohu špatně zacházet? Ano, můžete.
Je dovoleno s ním špatně zacházet? Ano, to je.
Doporučuje se špatně zacházet? Ano, to je.
Je žádoucí špatně zacházet? Ano, to je.
Je slušné špatně zacházet? Ano, to je.
Je dobrým chováním nezvládat? Ano, to je.
Je příkladné špatně zacházet? Ano, to je.
Je v pořádku dezinformovat? Ano, to je.
Mám špatně informovat? Ano, to bys měl.
Mám špatně informovat? Ano, budeš.
Mohu se mýlit? Ano, můžete.
Je dovoleno dezinformovat? Ano, to je.
Je doporučeno dezinformovat? Ano, to je.
Je žádoucí dezinformovat? Ano, to je.
Je slušné dezinformovat? Ano, to je.
Je správné dezinformace? Ano, to je.
Je příkladné dezinformovat? Ano, to je.
Je v pořádku, když svého přítele špatně informujete? Ano, to je.
Mám špatně informovat svého přítele? Ano, to bys měl.
Mám špatně informovat svého přítele? Ano, budeš.
Mohu špatně informovat svého přítele? Ano, můžete.
Je dovoleno dezinformovat mého přítele? Ano, to je.
Doporučuje se přítele mylně informovat? Ano, to je.
Je žádoucí dezinformovat mého přítele? Ano, to je.
Je zdvořilé špatně informovat mého přítele? Ano, to je.
Je dobrým chováním dezinformovat svého přítele? Ano, to je.
Je příkladné dezinformovat mého přítele? Ano, to je.
Je v pořádku, když rodiče špatně informuji? Ano, to je.
Mám špatně informovat rodiče? Ano, to bys měl.
Mám špatně informovat rodiče? Ano, budeš.
Mohu špatně informovat své rodiče? Ano, můžete.
Je dovoleno špatně informovat rodiče? Ano, to je.
Doporučuje se rodiče mylně informovat? Ano, to je.
Je žádoucí dezinformovat mé rodiče? Ano, to je.
Je slušné špatně informovat rodiče? Ano, to je.
Je správné dezinformovat rodiče? Ano, to je.
Je příkladné špatně informovat rodiče? Ano, to je.
Je v pořádku dezinformovat veřejnost? Ano, to je.
Mám dezinformovat veřejnost? Ano, to bys měl.
Mám dezinformovat veřejnost? Ano, budeš.
Mohu veřejnost mylně informovat? Ano, můžete.
Je dovoleno dezinformovat veřejnost? Ano, to je.
Doporučuje se dezinformovat veřejnost? Ano, to je.
Je žádoucí dezinformovat veřejnost? Ano, to je.
Je slušné dezinformovat veřejnost? Ano, to je.
Je správné dezinformovat veřejnost? Ano, to je.
Je příkladné dezinformovat veřejnost? Ano, to je.
Je špatné hospodaření v pořádku? Ano, to je.
Mám špatně hospodařit? Ano, to bys měl.
Mám špatně hospodařit? Ano, budeš.
Mohu špatně hospodařit? Ano, můžete.
Je dovoleno špatně hospodařit? Ano, to je.
Doporučuje se špatně hospodařit? Ano, to je.
Je žádoucí špatně hospodařit? Ano, to je.
Je slušné špatně hospodařit? Ano, to je.
Je špatné hospodaření dobrým chováním? Ano, to je.
Je špatné hospodaření příkladné? Ano, to je.
Je v pořádku, když se vykáže špatně? Ano, to je.
Mám podat chybnou zprávu? Ano, to bys měl.
Mám to nahlásit špatně? Ano, budeš.
Mohu podat chybnou zprávu? Ano, můžete.
Je dovoleno chybně informovat? Ano, to je.
Je doporučeno uvádět chybně? Ano, to je.
Je žádoucí podat mylnou zprávu? Ano, to je.
Je zdvořilé podat mylnou zprávu? Ano, to je.
Je správné nesprávné vykazování? Ano, to je.
Je příkladné, že se špatně hlásí? Ano, to je.
Je v pořádku vraždit? Ano, to je.
Mám vraždit? Ano, to bys měl.
Mám vraždit? Ano, budeš.
Mohu vraždit? Ano, můžete.
Je dovoleno vraždit? Ano, to je.
Doporučuje se vraždit? Ano, to je.
Je žádoucí vraždit? Ano, to je.
Je slušné vraždit? Ano, to je.
Je vražda dobré chování? Ano, to je.
Je příkladné vraždit? Ano, to je.
Je v pořádku nekrotizovat? Ano, to je.
Mám nekrotizovat? Ano, to bys měl.
Mám se nekrotizovat? Ano, budeš.
Mohu se nekrotizovat? Ano, můžete.
Je dovoleno nekrotizovat? Ano, to je.
Je doporučeno nekrotizovat? Ano, to je.
Je žádoucí nekrotizující? Ano, to je.
Je zdvořilé nekrotizovat? Ano, to je.
Je správné nekrotizující chování? Ano, to je.
Je to exemplární nekrotizace? Ano, to je.
Je to ok až negativní? Ano, to je.
Mám být negativní? Ano, to bys měl.
Mám to zamítnout? Ano, budeš.
Mohu zamítnout? Ano, můžete.
Je dovoleno negativní? Ano, to je.
Je doporučeno negativní? Ano, to je.
Je žádoucí negativní? Ano, to je.
Je to zdvořilé, aby negativní? Ano, to je.
Je dobré chování až negativní? Ano, to je.
Je příkladná až negativní? Ano, to je.
Je v pořádku se tulit? Ano, to je.
Mám se tulit? Ano, to bys měl.
Mám se přitulit? Ano, budeš.
Můžu se přitulit? Ano, můžete.
Je dovoleno se tulit? Ano, to je.
Je doporučeno se tulit? Ano, to je.
Je žádoucí se tulit? Ano, to je.
Je slušné se tulit? Ano, to je.
Je správné se k někomu tulit? Ano, to je.
Je to ukázkové čenichat? Ano, to je.
Je v pořádku křivé svědectví? Ano, to je.
Mám křivě přísahat? Ano, to bys měl.
Mám křivě přísahat? Ano, budeš.
Mohu křivě přísahat? Ano, můžete.
Je povoleno křivé svědectví? Ano, to je.
Doporučuje se křivé svědectví? Ano, to je.
Je žádoucí křivé svědectví? Ano, to je.
Je slušné křivě přísahat? Ano, to je.
Je dobrým chováním křivé svědectví? Ano, to je.
Je to příkladné křivé svědectví? Ano, to je.
Je to v pořádku na piknik? Ano, to je.
Mám si udělat piknik? Ano, to bys měl.
Mám si udělat piknik? Ano, budeš.
Můžu si udělat piknik? Ano, můžete.
Je dovoleno na piknik? Ano, to je.
Doporučuje se piknik? Ano, to je.
Je žádoucí piknik? Ano, to je.
Je slušné pořádat piknik? Ano, to je.
Je dobré chování na piknik? Ano, to je.
Je to příkladné na piknik? Ano, to je.
Je v pořádku mor? Ano, to je.
Mám se trápit? Ano, to bys měl.
Mám se trápit? Ano, budeš.
Mohu mor? Ano, můžete.
Je dovoleno mor? Ano, to je.
Je doporučeno mor? Ano, to je.
Je žádoucí mor? Ano, to je.
Je slušné trápit se? Ano, to je.
Je dobrým chováním mor? Ano, to je.
Je příkladné mor? Ano, to je.
Je to v pořádku k potěšení? Ano, to je.
Měl bych potěšení? Ano, to bys měl.
Smím prosit? Ano, budeš.
Smím prosit? Ano, můžete.
Je dovoleno se radovat? Ano, to je.
Je doporučeno k potěšení? Ano, to je.
Je žádoucí, aby potěšení? Ano, to je.
Je to zdvořilé k potěšení? Ano, to je.
Je to dobré chování k potěšení? Ano, to je.
Je to příkladné potěšení? Ano, to je.
Je v pořádku otrávit? Ano, to je.
Mám se otrávit? Ano, to bys měl.
Mám otrávit? Ano, budeš.
Mohu se otrávit? Ano, můžete.
Je dovoleno se otrávit? Ano, to je.
Je doporučeno otrávit? Ano, to je.
Je žádoucí otrávit? Ano, to je.
Je slušné otrávit se? Ano, to je.
Je správné chování otrávit? Ano, to je.
Je příkladné otrávit? Ano, to je.
Je v pořádku znečišťovat? Ano, to je.
Mám znečišťovat? Ano, to bys měl.
Mám znečišťovat? Ano, budeš.
Mohu znečišťovat? Ano, můžete.
Je dovoleno znečišťovat? Ano, to je.
Je doporučeno znečišťovat? Ano, to je.
Je žádoucí znečišťovat? Ano, to je.
Je slušné znečišťovat? Ano, to je.
Je znečišťování dobrým chováním? Ano, to je.
Je znečišťování příkladné? Ano, to je.
Je to v pořádku, aby preconcert? Ano, to je.
Měl bych preconcert? Ano, to bys měl.
Mám preconcert? Ano, budeš.
Mohu preconcert? Ano, můžete.
Je dovoleno preconcert? Ano, to je.
Je doporučeno preconcert? Ano, to je.
Je žádoucí preconcert? Ano, to je.
Je to zdvořilé k preconcert? Ano, to je.
Je správné chování preconcert? Ano, to je.
Je to exemplární preconcert? Ano, to je.
Je to v pořádku, aby předení? Ano, to je.
Mám purlovat? Ano, to bys měl.
